"NONE Tag","Requirement text","Name","Unique ID","Location","Package","Author","Revision","Date","Reason","Traced-from","Traced-to","RootTag#"
"NONE1","","性能要求","57","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:51","Requirement created.
NAME: <no entry> - 性能要求.
REQTEXT: <no entry>","","","1"
"NONE1.1","本app和管理网站的数据信息与信息同步","信息同步","58","Database","Nonfunctional requirements","lzs","1.0002","2021-6-1 15:52","Reparented. Tag was changed from NONE2 to NONE1.1.","","","1"
"NONE1.2","保存注册用户2k人，并发用户为200人","用户量并发量","59","Database","Nonfunctional requirements","lzs","1.0001","2021-6-1 16:10","NAME: 用户量需求 - 用户量并发量.","","","1"
"NONE1.3","软件一次响应的平均时间为2s，最大不超过5s","响应时间","60","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:53","Requirement created.
NAME: <no entry> - 响应时间.
REQTEXT: 软件一次响应的平均时间为2s，最大不超过5s","","","1"
"NONE1.4","启动时长不超过15s","软件启动时长","61","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:53","Requirement created.
NAME: <no entry> - 软件启动时长.
REQTEXT: 启动时长不超过15s","","","1"
"NONE1.5","耗电量较低，不操作就自动休眠","耗电量较低，不操作就自动休眠","62","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:55","Requirement created.
NAME: <no entry> - 耗电量较低，不操作就自动休眠.
REQTEXT: 耗电量较低，不操作就自动休眠","","","1"
"NONE1.6","本地下载部分内容，无需长时间消耗流量，2G/3G情况下提示正常。","网络需求","63","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:55","Requirement created.
NAME: <no entry> - 网络需求.
REQTEXT: 本地下载部分内容，无需长时间消耗流量，2G/3G情况下提示正常。","","","1"
"NONE3","","可靠性需求","64","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 15:55","Requirement created.
NAME: <no entry> - 可靠性需求.
REQTEXT: <no entry>","","","3"
"NONE3.1","每月1号凌晨2点到凌晨6点会对软件进行维护，保证用户软件在白天可以正常运行","定期维护","65","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:04","Requirement created.
NAME: <no entry> - 定期维护.
REQTEXT: 每月1号凌晨2点到凌晨6点会对软件进行维护，保证用户软件在白天可以正常运行","","","3"
"NONE3.2","本地记录不需要联网，可以随时使用","本地数据无需网络浏览","66","Database","Nonfunctional requirements","lzs","1.0000","2021-6-1 16:05","Requirement created.
NAME: <no entry> - 本地数据无需网络浏览.
REQTEXT: 本地记录不需要联网，可以随时使用","","","3"
